Disease,WeekText,Week,Value
zika,"March 12, 2017",12-Mar-17,1
ebola,"March 12, 2017",12-Mar-17,0
zika,"March 19, 2017",19-Mar-17,1
ebola,"March 19, 2017",19-Mar-17,0
zika,"March 26, 2017",26-Mar-17,1
ebola,"March 26, 2017",26-Mar-17,0
zika,"April 2, 2017",2-Apr-17,1
ebola,"April 2, 2017",2-Apr-17,0
zika,"April 9, 2017",9-Apr-17,1
ebola,"April 9, 2017",9-Apr-17,0
zika,"April 16, 2017",16-Apr-17,1
ebola,"April 16, 2017",16-Apr-17,0
zika,"April 23, 2017",23-Apr-17,1
ebola,"April 23, 2017",23-Apr-17,0
zika,"April 30, 2017",30-Apr-17,1
ebola,"April 30, 2017",30-Apr-17,0
zika,"May 7, 2017",7-May-17,1
ebola,"May 7, 2017",7-May-17,0
zika,"May 14, 2017",14-May-17,1
ebola,"May 14, 2017",14-May-17,0
zika,"May 21, 2017",21-May-17,1
ebola,"May 21, 2017",21-May-17,0
zika,"May 28, 2017",28-May-17,1
ebola,"May 28, 2017",28-May-17,0
zika,"June 4, 2017",4-Jun-17,1
ebola,"June 4, 2017",4-Jun-17,0
zika,"June 11, 2017",11-Jun-17,1
ebola,"June 11, 2017",11-Jun-17,0
zika,"June 18, 2017",18-Jun-17,1
ebola,"June 18, 2017",18-Jun-17,0
zika,"June 25, 2017",25-Jun-17,1
ebola,"June 25, 2017",25-Jun-17,0
zika,"July 2, 2017",2-Jul-17,1
ebola,"July 2, 2017",2-Jul-17,0
zika,"July 9, 2017",9-Jul-17,1
ebola,"July 9, 2017",9-Jul-17,0
zika,"July 16, 2017",16-Jul-17,1
ebola,"July 16, 2017",16-Jul-17,0
zika,"July 23, 2017",23-Jul-17,1
ebola,"July 23, 2017",23-Jul-17,0
zika,"July 30, 2017",30-Jul-17,1
ebola,"July 30, 2017",30-Jul-17,0
zika,"August 6, 2017",6-Aug-17,0
ebola,"August 6, 2017",6-Aug-17,0
zika,"August 13, 2017",13-Aug-17,0
ebola,"August 13, 2017",13-Aug-17,0
zika,"August 20, 2017",20-Aug-17,0
ebola,"August 20, 2017",20-Aug-17,0
zika,"August 27, 2017",27-Aug-17,0
ebola,"August 27, 2017",27-Aug-17,0
zika,"September 3, 2017",3-Sep-17,0
ebola,"September 3, 2017",3-Sep-17,0
zika,"September 10, 2017",10-Sep-17,0
ebola,"September 10, 2017",10-Sep-17,0
zika,"September 17, 2017",17-Sep-17,0
ebola,"September 17, 2017",17-Sep-17,0
zika,"September 24, 2017",24-Sep-17,0
ebola,"September 24, 2017",24-Sep-17,0
zika,"October 1, 2017",1-Oct-17,0
ebola,"October 1, 2017",1-Oct-17,0
zika,"October 8, 2017",8-Oct-17,0
ebola,"October 8, 2017",8-Oct-17,0
zika,"October 15, 2017",15-Oct-17,0
ebola,"October 15, 2017",15-Oct-17,0
zika,"October 22, 2017",22-Oct-17,0
ebola,"October 22, 2017",22-Oct-17,0
zika,"October 29, 2017",29-Oct-17,0
ebola,"October 29, 2017",29-Oct-17,0
zika,"November 5, 2017",5-Nov-17,0
ebola,"November 5, 2017",5-Nov-17,0
zika,"November 12, 2017",12-Nov-17,0
ebola,"November 12, 2017",12-Nov-17,0
zika,"November 19, 2017",19-Nov-17,0
ebola,"November 19, 2017",19-Nov-17,0
zika,"November 26, 2017",26-Nov-17,0
ebola,"November 26, 2017",26-Nov-17,0
